sc205.lp,"input/netlib.org.lp.lp/sc205.lp",203,204,1000,1800,1,-52.2021,0.323649,256
sc50a.lp,"input/netlib.org.lp.lp/sc50a.lp",48,49,1000,1800,1,-64.5751,0.007556,55
sc50b.lp,"input/netlib.org.lp.lp/sc50b.lp",48,48,1000,1800,1,-70,0.010908,50
scagr25.lp,"input/netlib.org.lp.lp/scagr25.lp",500,471,1000,1800,4,-1.16772e+07,31.0484,3096
scagr7.lp,"input/netlib.org.lp.lp/scagr7.lp",140,129,1000,1800,4,3.47163e+09,0.683934,2849
scfxm1.lp,"input/netlib.org.lp.lp/scfxm1.lp",457,330,1000,1800,4,-0,3.7606,1135
scfxm2.lp,"input/netlib.org.lp.lp/scfxm2.lp",914,660,1000,1800,4,-0,26.3111,1144
scfxm3.lp,"input/netlib.org.lp.lp/scfxm3.lp",1371,990,1000,1800,4,-0,82.102,1153
scorpion.lp,"input/netlib.org.lp.lp/scorpion.lp",358,388,1000,1800,4,-0,8.40212,1504
scrs8.lp,"input/netlib.org.lp.lp/scrs8.lp",1169,490,1000,1800,4,43.1001,19.4383,1835
scsd1.lp,"input/netlib.org.lp.lp/scsd1.lp",760,77,1000,1800,1,1.18067e-06,1.80514,8228
scsd6.lp,"input/netlib.org.lp.lp/scsd6.lp",1350,147,1000,1800,2,6.77356e+14,2.61701,3057
scsd8.lp,"input/netlib.org.lp.lp/scsd8.lp",2750,397,1000,1800,4,4264.27,78.5914,9711
sctap1.lp,"input/netlib.org.lp.lp/sctap1.lp",480,300,1000,1800,4,98.9062,4.52373,1494
sctap2.lp,"input/netlib.org.lp.lp/sctap2.lp",1880,1090,1000,1800,4,-0,297.909,2946
sctap3.lp,"input/netlib.org.lp.lp/sctap3.lp",2480,1480,1000,1800,4,-0,744.697,3198
seba.lp,"input/netlib.org.lp.lp/seba.lp",1035,1023,1000,1800,4,1061.2,83.8518,1029
share1b.lp,"input/netlib.org.lp.lp/share1b.lp",225,117,1000,1800,1,-76589.3,0.286665,1288
share2b.lp,"input/netlib.org.lp.lp/share2b.lp",79,96,1000,1800,1,-415.732,0.045623,236
shell.lp,"input/netlib.org.lp.lp/shell.lp",1775,912,1000,1800,1,1.20883e+09,92.7825,1537
ship04l.lp,"input/netlib.org.lp.lp/ship04l.lp",2118,360,1000,1800,1,1.79332e+06,7.79395,1054
ship04s.lp,"input/netlib.org.lp.lp/ship04s.lp",1458,360,1000,1800,1,1.79871e+06,4.67097,692
ship08l.lp,"input/netlib.org.lp.lp/ship08l.lp",4283,712,1000,1800,4,1.95357e+06,144.48,4011
ship08s.lp,"input/netlib.org.lp.lp/ship08s.lp",2387,712,1000,1800,1,1.64416e+06,108.443,3429
ship12l.lp,"input/netlib.org.lp.lp/ship12l.lp",5427,1042,1000,1800,1,1.47019e+06,412.856,4191
ship12s.lp,"input/netlib.org.lp.lp/ship12s.lp",2763,1042,1000,1800,1,1.48924e+06,198.131,2228
stair.lp,"input/netlib.org.lp.lp/stair.lp",467,444,1000,1800,4,-84.3252,20.916,2469
standata.lp,"input/netlib.org.lp.lp/standata.lp",1075,474,1000,1800,4,-0,13.0351,1202
standgub.lp,"input/netlib.org.lp.lp/standgub.lp",1184,475,1000,1800,4,-0,13.4918,1203
standmps.lp,"input/netlib.org.lp.lp/standmps.lp",1075,582,1000,1800,4,1640.4,40.8114,2260
stocfor1.lp,"input/netlib.org.lp.lp/stocfor1.lp",111,117,1000,1800,4,-0,0.34333,1930
stocfor2.lp,"input/netlib.org.lp.lp/stocfor2.lp",2031,2157,1000,1800,4,-0,1358.63,1997
test.lp,"input/netlib.org.lp.lp/test.lp",32,33,1000,1800,1,-386.328,0.007646,56
tuff.lp,"input/netlib.org.lp.lp/tuff.lp",587,323,1000,1800,4,-0,3.58655,1101
vtp.base.lp,"input/netlib.org.lp.lp/vtp.base.lp",203,341,1000,1800,4,17753.4,8.82666,2313
wood1p.lp,"input/netlib.org.lp.lp/wood1p.lp",2594,244,1000,1800,4,-0,6.59997,1913
woodw.lp,"input/netlib.org.lp.lp/woodw.lp",8405,1098,1000,1800,4,-0,529.625,4314
